input,reference_sentence,predicted_label
"""It is about a third of what I owe in the world,"" he told reporters.","It ain't coming to me, but it's only about a third of what I owe in the world.",But is the case is that a share.
"The tech-laced Nasdaq Composite Index gained 2.90 points, or 0.18 percent, to 1,606.87.","At 12:10 p.m. EDT, Canada's benchmark S&P/TSX composite index was up 6.87 points or 0.1 per cent to 6,979.29.","The said 1, or 1 points,000 1, or to $1."
The benchmark 10-year Treasury note yield <US10YT=RR> dipped below 4.20 percent on Tuesday.,"Prices for Treasury securities also rose, with the yield on the benchmark 10-year note falling to 4.19 percent.","The j of the Newan an officeing, the ocean.3 US were 1-l points, the contract-year-old a gain, oring."
"So was Edie Falco, the critically praised co-star of ""Frankie and Johnny.""","Edie Falco was not nominated for ""Frankie and Johnny.""","""We's an the first with police was, the world by a record in the day."
"""Saddam is gone, but we want the (U.S.) occupation to end,"" said Hit resident Abu Qasim.","""Saddam is gone, but we want the (U.S.) occupation to end.""","I, who $ and the proliferation of the world be."
"Joe Kernan, who had been lieutenant governor for the past seven years, was sworn in as governor after O'Bannon died Saturday.","Kernan, who was O'Bannon's lieutenant governor, friend and political partner, was sworn in six hours after O'Bannon died Saturday.",Two makes and the beach average that the international-year would drug and the New and that and other million and the uan has been an.
Advanced Micro Devices said Fujitsu Siemens Computers is offering a high-end workstation based on AMD's Opteron 200 Series.,Fujitsu Siemens Computers on Tuesday made good on a promise to offer a workstation based on Advanced Micro Devices' Opteron processor.,the as the world is being a statement a wooden a high.
Kodak expects earnings of 5 cents to 25 cents a share in the quarter.,Analysts surveyed by Thomson First Call had expected Kodak to earn 68 cents a share for the quarter.,It's the world night to 2002 by more a silver with russia's to the world.
Shares of Corixa fell 12 cents to $6.88 on the Nasdaq stock market.,"Corixa's stock barely flinched on the news, dipping 12 cents to close at $6.88.",the on the snow.m for the death would the air to the first.
"He was referring to John S. Reed, the former Citicorp chief executive who became interim chairman and chief executive of the exchange last Sunday .","Next week, John S. Reed, the former Citicorp chief executive who Sunday became interim chairman and chief executive of the exchange, will take up his position.",S.51.
"He refused to reveal what percentage of flights carried sky marshals, or whether they would be increased.",He refused to say what percentage of domestic flights had security officers on board.,"The be has been, "" was it is should to $ they were."
"The Nasdaq Composite Index rose 19.67, or 1.3 percent, to 1523.71, its highest since June 18.",The S&P 500 had climbed 16 percent since its March low and yesterday closed at its highest since Dec. 2.,"The black, or 0.S.45 percent, was earlier is a white, or, or 0."
"They said they had concluded that the film failed ""to present a balanced portrayal"" of the Reagans.","CBS said the show ""does not present a balanced portrayal of the Reagans for CBS and its audience.",Mr? Buildings have the day the United.7 in the europe of the Nasdaq in a city in the complex.
State health officials said today a young northeast Kansas woman likely has the state's first case of monkeypox among humans or animals.,Health officials confirmed today that a northeast Kansas woman has the state's first case of monkeypox and the first case west of the Mississippi River.,He for the air-year the r a video.
"Navistar shares were down 44 cents, or 1.1 percent, at $41.19 on the New York Stock Exchange after falling as low as $39.93.",Navistar shares rose a penny to $41.64 at late afternoon on the New York Stock Exchange after earlier falling as low as $39.93.,"The man percent, or 0.m.6 0.51 points, the Nasdaq."
Only Intel Corp.'s 0.3 percent yield was lower.,Only Intel Corp. has a lower dividend yield.,The company of the united.5 she.S.25.s.
"MGM, NBC and Liberty executives were not immediately available for comment.",A Microsoft spokesman was not immediately available to comment.,"I, Medicare for the world and the air"
"The new analysis found that 32 of the 16,608 participants developed ovarian cancer during about 5 years of follow-up.","The new analysis found that 32 of 16,608 participants developed ovarian cancer in about 5 1/2 years of follow-up, including 20 women taking hormones.","The broader by the company, the phone was the conditions a."
Veteran stage and screen actor Hume Cronyn died of cancer Sunday.,"Character actor Hume Cronyn, 91, died Sunday at his home in Connecticut.",the are all were that the camera of attacks in international and they're.
"Deirdre Hisler, Government Canyon's manager, said the state has long had its eye on this piece of property and is eager to complete the deal to obtain it.","Deirdre Hisler, Government Canyon's manager, said the state long has coveted this piece of property, and is eager to complete the deal.",In.4 the United for the first to prevent as the company to meet.
"Reuters witnesses said many houses had been flattened and the city squares were packed with crying children and the homeless, huddled in blankets to protect them from the cold.","Reuters witnesses said public squares were packed with crying children and people left homeless, huddled in blankets to protect them from the cold.","""They is the investigation is it and the camera is the camera."
The three grocery chains were relying on store managers and replacement workers to keep their stores open.,"The supermarket chains have used managers and replacement workers to keep their stores open, often at reduced hours.",The man wearing the air for the first from percent to year.
"The security official's backup couldn't fill in because he was on active military duty, Strutt said.","The security official's backup was on active duty, and the lottery association didn't have a replacement in New Jersey, Strutt said.","The said the United with many wonders ""The other for the New with man in the back."
"Researchers found the fossils in a semidesert area of Venezuela, about 250 miles west of Caracas.","Phoberomys' skeleton was unearthed 250 miles west of Caracas, Venezuela.",The analyst's a key in their the first and other in the latest of the the background of opium in the company and the treaty.
Mr McDonnell is leading Grant Thornton International's inquiry into the Italian business.,Mr McDonnell wants to establish if the Italian business followed Grant Thornton's audit procedures.,"And is the world is not a statement, a black."
The industry's largest association is urging its members not call the more than 50 million home and cellular numbers on the list.,"Meantime, the Direct Marketing Association said its members should not call the nearly 51 million numbers on the list.",The white horse's said the sand to week said's the world's the water.
"The workers accuse General Dynamics of ""reverse age discrimination"" because of a change in retirement benefits in 1997.",General Dynamics was sued when it changed its retirement benefits in 1997.,An: a red sitting of a field.
"The tech-laced Nasdaq Composite Index .IXIC eased 5.16 points, or 0.32 percent, at 1,590.75, breaking a six-day string of gains.","The tech-heavy Nasdaq Composite Index .IXIC was off 0.11 percent, or 1.78 points, at 1,594.13.","The Nasdaq, or 0.5, was 1.1-l index percent, industrial ., percent in Iraq, were earlier, a phone to 1, and $1."
The Space Infrared Telescope Facility's mission is to search for the beginnings of the universe.,NASA is scheduled to launch the Space Infrared Telescope Facility on Monday morning.,To the Day to to 6.
The respected medical journal Lancet has called for a complete ban on tobacco in the United Kingdom.,"A leading U.K. medical journal called Friday for a complete ban on tobacco, prompting outrage from smokers' groups.",The red by the train in the background.
"The driver of the truck escaped and is now being sought by the police, Supoyo said.",But police say the driver of the truck has not been found and is wanted for questioning.,"The year,000 was in the air, the sand of the task."
"""In so many different ways, the artistry of black musicians has conveyed the experience of black Americans throughout our history,"" Bush said.","Surrounded by singers from Harlem, Bush said: ''The artistry of black musicians has conveyed the experience of black Americans throughout our history.",""" was site of said cents a year that the world of the entire and the past, the United,"" said its the investigation, the world,"" and the of the new security,"" the city."
"Geraldine Andrews, the pastor's daughter-in-law, said Robinson recently took her daughter out of a mental health facility.","Geraldine Andrews, Reynolds' daughter-in-law and a friend of Wilson's family, said Robinson had recently taken Wilson out of a mental health facility.","a said: it was,,"" said not-up's,-old a $ &."
"Before Thursday's matinee, Baker called a clubhouse meeting, concerned that the controversy had distracted the Cubs.","Baker called a pregame meeting, believing the the corked-bat episode had distracted the team.","As has been, will at the first on the world, and a statement, or that the investigation."
She was taken by ambulance to Charing Cross Hospital in Hammersmith.,"She was taken to Charing Cross Hospital, where she remained critically ill last night.",I to the back of people it is the united at the water.
"Shortly after the opening bell, the Dow Jones Industrial Average was up 11.13 to 9,228.48, while the S&P 500 index gained 1.74 to 982.33.","After a weak start, the Dow Jones Industrial Average ended the day up 26.26 to 9,217.35, while the S&P 500 index rose 3 to 980.59.",the them the Nasdaq Composite Index yesterday the US $ at the Papers of the United to $1.
"In addition, primary care trusts (PCTs) were given star ratings for the first time this year.",Primary Care Trusts and Mental Health Trusts have also been formally rated for the first time this year.,"H for the New were the ocean ( also this, that and other could.m, not that has been the new-year."
"""We are expending all available resources toward the investigation,"" said Assistant U.S. Attorney Todd Greenberg, a counterterrorism prosecutor in Seattle.","""We are aware of the situation,"" said Assistant US Attorney Todd Greenberg, a counter-terrorism prosecutor in Seattle.",""" was to be said many wonders was from the world are at 1, however, the New York."
"The technology-laced Nasdaq Composite Index .IXIC shed 15 points, or 0.98 percent, to 1,492.","The broader Standard & Poor's 500 Index <.SPX> edged down 9 points, or 0.98 percent, to 921.","But was both points, or points, or Index the united,"" a points, or 0.94 percent to an yesterday.4 percent, the united with their Stock that the people todaq."
The research firm earlier had forecast an increase of 4.9 percent.,The firm had predicted earlier this year a 4.9 percent increase.,The white of the beach.4 it are playing the United.
"PeopleSoft will commit $863 million in cash and issue 52.6 million new shares, the companies said.","The new deal would be valued at $1.75 billion, including $863 million in cash and 52.6 million PeopleSoft shares.",The Dow Jones to 1 and the Papers in their the most.
"So in his State of the Union address in January, Bush declared that the British government ""has learned that Saddam Hussein recently sought significant quantities of uranium from Africa.""","In his Jan. 28 State of the Union message, Bush said, ""The British government has learned that Saddam Hussein recently sought significant quantities of uranium from Africa.""","R "" had two that in itan, but over said in 2001 with many and chief."
"The other 24 members are split between representatives of the securities industry and so-called ""public"" board members.","Of the 24 directors who are not exchange executives, half are representatives of the securities industry and half are designated public members.","In a key's nuclear to 1, the united states, said in the same the New York or to said."
The Episcopal Diocese of Central Florida became one of the first in the nation Saturday to officially reject the national denomination's policies on homosexuality.,The Episcopal Diocese of Central Florida voted Saturday to repudiate a decision by the denomination's national convention to confirm a gay man as bishop.,"The broader to the background of the world and two of the governor itpey of the first of the world and the back, a piano."
McGill also detailed the hole that had been cut in the Caprice's trunk.,McGill also said a dark glove was stuffed into a hole that had been cut in the Caprice's trunk.,The women and white has to the New or have had to the the Nas that the US.
"That compared with a year-earlier profit of $102 million, or 13 cents a share.","That was more than double the $102 million, or 13 cents a share, for the year-earlier quarter.","Two of speech of a mountain, a field of agreement."
"""The economy, nonetheless, has yet to exhibit sustainable growth.",But the economy hasn't shown signs of sustainable growth.,"He is the blue, however."
The commission estimated California lost $937 million to corporate tax shelters in 2001.,California's lost tax revenue was mostly due to international corporate tax shelters.,Red in his is holding of the U up
"In other markets, U.S. Treasuries started off on Monday weaker, as stocks rose early.","In other markets, U.S. Treasuries inched higher as declining stocks raised the appeal of safe-haven debt.","As,000, or 0.3.94 the world,.0, but, or 0."
"The technology-laced Nasdaq Composite Index .IXIC was down 25.36 points, or 1.53 percent, at 1,628.26.","The broader Standard & Poor's 500 Index .SPX gave up 11.91 points, or 1.19 percent, at 986.60.","The white, or44 percent, to 1, it in 0, but the question points, or.0, or 0."
"The Pentagon had hoped to retain control of the postwar effort, so the decision is a victory for Secretary of State Colin L. Powell.","The Pentagon had hoped to retain control of the postwar effort, so the decision was seen by some insiders as a victory for Powell and the State Department.","The Dowy's 500, a record while that and the background on the long-up and the Nasdaq Composite of the New York."
"Prof Sally Baldwin, 63, from York, fell into a cavity which opened up when the structure collapsed at Tiburtina station, Italian railway officials said.","Sally Baldwin, from York, was killed instantly when a walkway collapsed and she fell into the machinery at Tiburtina station.",A group of a table's a red and woman is a bowl.
It calls for the agency to plan an independent safety and engineering organization.,The agency has yet to fully formulate a strategy for the creation of an independent engineering technical authority.,"Originally, and the governor for the arch, the camera."
"WorldCom's accounting problems came to light early last year, and the company filed for bankruptcy in July 2002, citing massive accounting irregularities.","WorldCom's financial troubles came to light last year and the company subsequently filed for bankruptcy in July, 2002.",""" ""pro's $ said was has been said.25, up of all the Papers with 3-based percent, has has been his the world."
"The study also found that consumer goods advertisers continued to spend the most dollars online, representing 35% of all Web advertising.","In the second quarter, consumer advertisers continued to spend the most online, slightly increasing their share.","The technology to prevent was from the background to the world to,"" said were an said that its that."
Kiernan testified that Seifert had received a gunshot wound to the back.,"Seifert, he testified, had a gunshot wound in the back.","the said to the air, the ground."
"It is priced at $5,995 for an unlimited number of users tapping into the single processor, or $195 per user with a minimum of five users.","It is priced at $5,995 or $195 on a per user licensing plan with a minimum of five users.","I to create the hospital said a share and the united states of mass with the American and the united, but treaty an "",000 the US."
Tropical storm heads for pass along Honduras coast,Tropical storm warnings for Southeast coast,Bomb to world deal from the Day vote
Suicide bomber kills 12 in Nigeria church,Suicide bomber kills 21 in NW Pakistan,Suicide kills killed in Afghanistan
US says ready to help blind Chinese activist,U.S. ready to help Chinese activist: official,N police of the Papers-M 6 to be
Gazans fire 2 rockets into Israel; no injuries,2 Gaza rockets hit Israel; no injuries,N to beers vote on;.
Berri says ready to help launch national unity government,The perception of Spain has changed dramatically with this government,Car to South to do'
13 dead in Iraq bomb attacks,16 killed in north Iraq attacks,Israeli in Afghanistan
Hurricane Isaac Moves Inland After Landfall,Hurricane Isaac batters US coast near New Orleans,2 after powerful in attacks for Pakistan
Nigeria mourns over 193 people killed in plane crash,Nigeria opens probe into deadly air crash,Suicide bomber
ICC jails Congolese warlord for 14 years over child soldiers,Congolese warlord sentenced to 14 years in landmark case - video,"U-year open new tax-15,000"
"7 soldiers killed, 56 injured in PKK attack in eastern Turkey","3 killed, 14 injured in attacks in Iraq",U of station killed in front killed in attack
Schiphol airport partly evacuated after bomb threat,Schiphol airport evacuated due to bomb threat,North Korea: Korea: China over in southern
MIER ups 2012 growth forecast to 4.2pc,CMIE cuts 2012-13 growth forecast to 6.3%,Redan to discuss.7 to $
Activists: Syrian troops storm Damascus suburb,Activist says Syrian citizen cameraman killed in Homs,Turkish: Russia new police in Afghanistan
Tehran: EU sanctions won't force Iran into nuclear talks,Low expectations for Iran nuclear talks,M as Russia Syria: China
Portugal Drownings: UK Girl And Grandad Named,British Girl And Grandad Drown In Portugal,NATO confirms: Image: border
"Iran, powers set for high-stakes nuclear talks","U.S., Iran prepare for Istanbul nuclear talks","L for presidential election,000 for the camera"
Syrian forces kill teen in Aleppo protests,Syrian forces kill 3 protesters in Damascus-activists,N killed in Afghanistan
"Jaguar to create 1,100 jobs in UK","Royal Mail to create 1,000 jobs",T Korea opposition to 9 as in Afghanistan
Iraq searches Syria bound Iran plane: officials,Iraq searches Syrian-bound Iranian plane,Israel to make to presidential to China
Syria fighting rages as Russia urges Western re-think,"Syria fighting rages in capital, Russia pressed",South on Russian' bombing over ''
Erdogan's party submits plan for Turkish presidency,Erdogan's party aims for Turkish presidency,Some bomb kills's presidential as they for attacks's on attacks
Publisher acquitted in privacy case,PBS publishes new guidelines on impartiality,Indian in Syria
Samsung overtakes Nokia in phones,Charges over dog attack on police,Ukraine on Syria: as crash
Gu Kailai murder trial ends in China,Gu Kailai's Murder Trial Ends in China,Ukraine protesters: bomber kills as: China's
Not 'hiding the ball' on Russia: Obama,Obama says he's not 'hiding the ball' on Russia,India President's vote on ' for ' crash
England captain Andrew Strauss retires from professional cricket,England captain Strauss retires from cricket,China Syria's first to prevent to $
China backs Sri Lanka on UN resolution,War crimes: China backs Lanka on UN resolution,China lower on Syria for talks
Ton up: Tendulkar reaches 100th international hundred,Sachin Tendulkar's reaches 100 centuries - in pictures,Palestinian: police kills at US in Afghan
Conspiracy against me - Lance,Day begins amid panic,Why talks Korea wants of 14 to get
"Mursi takes oath of office, becomes Egyptian president",Morsi to take oath as first Egypt civilian president,Syrian forces's New's Mandela
Syrian opposition pleads for criminal court action,Syrian opposition leader criticizes U.S.,US New York to do
Sunderland 2-2 Bolton: Davies double gets Trotters a point but they stay in bottom three,Sunderland 2-2 Bolton: Davies in at the double,"S.S.S percent, he found in Afghan arrested by the US's."
"Syrian forces shell towns, clash with rebels",Syrian forces and rebels clash in coastal province,Putin US: attack death toll rises
Bahraini protesters and police clash after funeral,"Greek protesters, police clash as bailout deal in limbo",Z condemns up on as in Russian
Apple buying security firm AuthenTec for $356 million,News Summary: Apple buying AuthenTec for $356M,U of '' vote warns president on Syria B
Trade newspaper Variety up for sale,Hollywood trade publication Variety put up for sale,EU's Mali's to have to for quake
Australians flee homes amid floods,Australian speaker steps aside,Iraq with major: US protesters
Germany dodges recession with growth in first quarter,"Eurozone avoids recession in Q1, thanks to Germany",Obama in Pakistan as crash in Russia kill
Asian stocks rise after Greek vote eases fears,Oil rises after Greek election result,"Iran, said 'un on Syria"
British soldier killed in southern Afghanistan,Two British soldiers killed in Afghanistan,Boston killed in Syria in Afghanistan
Obama silent on China dissident,Obama to visit Korean DMZ,Obama in Philippines urges
Suicide Bomber Kills 6 in Afghan Capital,Suicide bomber kills 37 at mosque in Afghanistan,U.Pakistan killed in Pakistan
Denver shooting: Police to detonate devices in suspect's home,Police to detonate devices in Colorado shooting suspect's home,Egypt to Syrian to do
Syria hands over bodies of journalists,Syria TV says govt troops free captive journalists,Syria arrested to France
Coroner: Whitney Houston died in bathtub,Coroner confirms Whitney Houston found in bathtub,N forces in Afghanistan
Japan suffers severe flooding - in pictures,Oklahoma wildfires destroy homes - in pictures,Suicide attack: Egypt
Japan to deport Chinese held over island landing,German court weighs delay to euro fund ruling,China to North of Mandela not to Syria
Some Syria violence amounts to civil war-Red Cross,Some Syria violence qualifies as civil war -Red Cross,Two dogs''s ex to 6's over'
Romney Wins Nevada Caucus,Romney shifts focus to Santorum ahead caucuses,Romney releases stocks.
Apple iPad mini makes debut,Apple iPad mini makes debut in Asia,Syria man is adding.
Hamas hangs three Gaza prisoners,Myanmar announces release of prisoners,NATO higher's move.
East Timor votes in presidential election,Venezuelans urged to vote in presidential election,Mandela wins in Bangladesh
Sunday Times journalist Marie Colvin killed in Syria,"Sunday Times journalist, French photographer 'killed in Syria'",12 for attacks: bomb'
KL shares higher at mid-afternoon,KL shares lower at mid-morning,Egypt's Russian on Brotherhood
Chicago teachers strike in bitter contract dispute,Chicago teachers union delegates could end strike,Israel Iraq killed in Bangladesh French
Israel to free Palestinian hunger striker,Israel asks US for arms that could aid Iran strike,Israel Afghan kills to meet
Not a good beginning: Hollande's plane hit by lightning en route to Berlin,French President Francois Hollande's plane hit by lightning en route to Berlin,Pro office to be's to meet
Afghan Parliament Votes to Oust Key Ministers,Afghan parliament votes to remove key ministers,South Africa's to 1 to 6 to 6 out
Attacker in Afghan uniform kills 2 NATO troops,Man in Afghan army uniform kills NATO soldier,Chinese dead in Syria
Cheap generics no panacea for India’s poorest,Cheap cancer drugs no cure for India's poorest,G ' kills at World after and capital'
'Arrest warrant' for Maldives ex-president,Maldives court issues arrest warrant for former president,India to ' action to be nuclear to UK
HRW: Jordan turning away Palestinian refugees from Syria,Report: Jordan biased over Palestinians from Syria,S.5's new's agreement.S.
Syrian forces overrun rebel stronghold,Syria army takes northern rebel stronghold,US attack to Syria election
Chinese stocks close higher midday Friday,Chinese stocks open lower Friday,Chinese president's dies-M
"Sandy slams into Northeast; at least 18 dead, 7.4M without power","Eastern U.S. storms leave 2 dead in Va., 2 million without power","H,'s which, R I record, or 0.44 1, and disarm, a, up."
Putin Declares Victory in Russia Presidential Vote,Complaints in Russian election mount,Police: protesters:' in building
Supreme Court to Hear Voting Rights Act Case,Supreme Court to hear corporate human rights case,Death toll rises to newones ' for
Libya postpones assembly election to July 7,Libya postpones landmark election to July 7,Chinese to move to Syria against kills to the United
London 2012 Olympics Opening Ceremony 'to feature a green and pleasant land',"London 2012 Olympics: Opening Ceremony to be a 'green and pleasant land', says Danny Boyle",M officers talks on flight to protesters
Pakistan blocks Twitter over anti-Islamic material,Pakistan blocks Twitter over 'blasphemy',Death's B in attack election
Annan to visit Syrian refugees in Turkey Tuesday,Annan to visit Syrian refugees in Turkey before Iran,H dead to Syrian to presidential in euro
Pakistani PM shocked at avalanche trapping army personnel,Pakistan avalanche: rescuers search for buried soldiers,Mandela lower for new sanctions in India
Opposition leaders emerge to commemorate Cambodian workers' deaths,Cambodia opposition leaders summoned to court,Ukraine at Israel in India-up deal and other for the dead.
Mali due to vote for president,Mali Counts Votes After Presidential Runoff,Tal meets says for comment for a van
Pussy Riot member Alyokhina released from jail in Russia,Pussy Riot member Maria Alyokhina freed from jail,Egypt law:-old ' accident
Asiana jet crash lands at San Francisco airport,Plane crash lands at San Francisco airport,Ukraine ' stocks closeia against death toll
"Blizzard hammers U.S. Northeast, five dead, 700,000 lose power","Blizzard wallops US Northeast, closes roads","He:N it that Monday, but, or were,000"
2 French Journalists Killed in Mali,Two French journalists killed in Mali,If dead dead in Syria
Vehicles ablaze in collapsed Japan tunnel,Vehicles 'left burning' as smoke emits from Japan tunnel,Man protesters soldiers in Syria
China stocks close lower on Friday,China stocks close higher on Wednesday,China crashed deathO: Iraq
Mayor says 14 dead in Texas fertilizer plant blast,Rescuers search for survivors of Texas fertiliser plant blast,U. drone killed in front in Bangladesh
CBN reiterates plan to phase out polymer notes,Nigeria announces plans to change polymer Naira notes,"Israeli killed,000 officials of wounded in Afghanistan"
U.S. files espionage charges agains NSA leaker,US files espionage charges against Snowden over leaks,NAT in major kill attack2
Chinese general's son gets 10 years jail for rape,Chinese general’s son gets 10 years’ jail for gang-rape,Th vote:' talks ' for president for you operation for $
Where's Rusty? Red panda vanishes from National Zoo,Missing red panda returned safely to National Zoo,Death for ' to leadership Egypt to Ukraine
Queen Beatrix of The Netherlands to abdicate for son,Queen Beatrix of the Netherlands abdicates in favour of son,"Syria is a crowded president to ""I for the day"
U.S. dumps bombs at Great Barrier Reef,U.S. military jettisons bombs near Australia's Great Barrier Reef,L kills 11 talks
38 Taliban militants killed in Afghanistan,Taliban attacks US base in Afghanistan,British clash kills attack in prison
Most powerful typhoon of 2013 hits the Philippines,23 Missing as Typhoon Utor Hits Philippines,Al in an people in his
Calls for more Egypt protests,Death toll from Egypt protests rises to 49,Pope talks Korea dead in Afghanistan
US government 'on the edge of shutdown',Obama rejects GOP offer to ease shutdown,"US, is, not, China at the grass."
123 killed in fighting in northern Syria,Many killed in Syrian air strike,C killed in dead in Afghanistan
Critics say Putin’s security restrictions violate rights,Putin's security decree for Sochi draws ire of critics,"Car: troops:: police: ""Former for strike"
"Egypt braces for more protests, prays for calm","Egypt braces for more protests over Morsi, prays for calm",Egypt's court of Syriaful
Morsi supporters protest in Egypt,Morsi backers defiant in face of Egypt govt threat,NATO killed in Afghan in Pakistan
Stocks rise in early trading,US stocks ease in choppy trading,"""It releases to end in Moscow in Syrian"
Bangladesh building collapse death toll hits 540: army,Bangladesh building-collapse toll tops 600,J ' dead dies
Defiant Mugabe sworn in for seventh term blasts 'vile' West,Mugabe sworn in for another term,"Pope protesters at least at least'"" 2012 in London"
Nelson Mandela in Hospital for Tests,South Africa: Mandela in hospital for tests,Putin president of least in Iraq
"Iran, six global powers sign landmark nuclear deal","Iran, world powers agree nuclear deal",Iran: dead.S.26 in new blast
Algeria Mounts Military Operation to Rescue Al Qaeda Hostages,Algeria mulls international force for hostages,"Manin's to order ""' border that'"
Delhi gang rape victim dies in Singapore hospital,Delhi gang rape victim flown to Singapore hospital,Gunela in China
Birth Control Linked With Higher Glaucoma Risk,Contraceptive pill 'doubles glaucoma risk',K b's two for the sand?
Malaysia sets May 5 as date for closely contested election,Malaysia sets date for landmark elections,Israel as president's Israeli dead
Dhawan smashes India to big win over South Africa,Dhawan ton sets up India Trophy win over South Africa,K man is walking nuclear talks
N Korea postpones family reunions,North Korea postpones war-torn family unions,Th stocks wins Palestinian higher'
"Syria rejects US, UK chemical arms claims",US suspects Syria used chemical weapons,"US, and singing ' collapse, in Pakistan"
Egypt arrests Muslim Brotherhood Supreme Guide,Egypt bans Muslim Brotherhood group,Egypt's's Brotherhood election Westes
Gunmen kill nine people in northwest Pakistan,Gunmen kill 3 policemen in Iraq,Syria killed in critical
News summary for March 11,News summary for January 14,Syrian its talks
Hawaii passes gay marriage bill,US Senate passes gay workers bill,Australian president higher's nuclear
Syrian Opposition Urges EU to Send Arms to Rebels,Syrian opposition meets to choose interim PM,China to Vote rises to new to new
Funeral of Oscar Pistorius' girlfriend Reeva Steenkamp takes place,Oscar Pistorius 'shot Steenkamp in bathroom',"Russia: "" presidential's you over day of Korea of the New: "" on a share."
Two firefighters killed in New York ambush,Two New York firefighters in guarded condition after deadly ambush,Two men killed in a pot French killed in a snow in building
"Ten rescued off Waterford, Dublin coasts",Six rescued after boat capsizes in Dublin Bay,"Train down the Papers death toll, China:?"
Mars rover collects first bedrock sample,Wawrinka reaches first grand slam final,British 'icide 'icide:ians dead
Ankeet Chavan granted conditional bail for marriage,Ankeet Chavan granted bail to get married,K race for Brotherhood's nuclear talks
Man who battled Fukushima disaster dies of cancer,Former plant chief who battled Fukushima disaster dies of cancer,Road freshes of police
Iran says nuclear talks to resume next month,Iran says capable of jamming foes' communication systems,Iran says mull to Brotherhood
US authorities charge man in ricin probe,South African police arrest 50 in farm protest,US South kills in Afghanistan
25 bodies found at raided Algerian gas plant,25 more bodies found at Algerian gas plant,"Gun p in Moscow bomb militants, E"
Ferrer cruises into Australian Open quarter-finals,Ferrer beats Nishikori to advance to Australian Open quarterfinals,HO: police-mail on top
UBS settles US mortgage lawsuit,UBS settles US mortgage lawsuit and takes £600m charge,N protesters's PM in Afghanistan
"North, South Korea agree to talks","North, South Korea hold rare talks",Chinese killed in Egypt-Qaida in presidential
Gunmen kill female politician in Pakistan,Gunmen kill 5 female teachers in Pakistan,PakistanO kills
Kardashian Divorce Ready for Trial,Hard-hit hotels ready for price war,Gunmen of Beirut of Syria
New Zealand set to legalise gay marriage,New Zealand votes to legalise same-sex marriage,Police to hospital to 6. talks to be to attend on US
"Syria regime claims evacuation of 5,000 near Damascus",Syria army continues mop-up operations near Damascus,Gunians: world Russia kill of polls: US
Nobel Prize winning author Doris Lessing dies,Nobel laureate Doris Lessing dies at 94,Palestinian's nuclear bomber kills's ' Israeli as Israel'
"Internet, phone service restored in Syrian capital",Internet service resumes in Syria,Death 'peace in San: blast Palestinian
Syrian PM Survives Bomb Attack,Syrian PM survives bomb attack in capital,New opposition ' ': Syria Pakistan
US stock futures edge up ahead of jobs report,"Stock futures edge higher, all eyes on Fed","US dead, protesters on flight"
Bomb blast kills 10 in southwest Pakistan,Major quake kills 39 in Pakistan,12 Indian to Iraqing to new crash
David Cameron puts Sri Lanka on notice over war crime allegations,Sri Lanka warned over war crime allegations,British to build of the Zombies in South
Morsi supporters clash with riot police in Cairo,Protesters clash with riot police in Kiev,EU ' Egypt for Ukraine killed in new
Afghan police kill 5 Taliban fighters,"5 Taliban, 5 Afghan police killed in ambushes",Israel: dead's drug after arrested
Gunmen kidnap airline pilots in Lebanon,Gunmen kidnap 2 Turkish Airlines pilots in Lebanon,Suicide To kills kills
Kurdish rebels to withdraw from Turkey in March: report,Kurdish rebels to withdraw from Turkey,How train in Kabul'
Japan revises GDP growth to annual 1.1 pct in Q3,Japan’s GDP growth downgraded to annual 1.1%,Egypt about':s for the water.
The foundations of South Africa are built on Nelson Mandela's memory,Australian politicians lament over Nelson Mandela's death,"H are dead, also."
"Ukraine protest leaders name ministers, Russian troops on alert",Ukraine Refuses to Act Against Russian 'Provocation',S.S.6 in New York with many
"Malala, Snowden, Belarusians Short-Listed For Sakharov Prize",Fugitive Snowden short-listed for European rights prize,"K kills in NW, US"
ElBaradei to Become Egyptian PM,"Liberal ElBaradei named Egypt PM, Islamists cry foul",Death more Syria troops to make to 6
Taiwan's economy grows 2.27% in April-June quarter,China's economic growth rebounds to 7.8% in latest quarter,"""I on the company with U."
Tamerlan Tsarnaev buried in Virginia,Boston bomb suspect buried in Virginia cemetery,Syrian is that-M?
"State Dept. issues wide travel alert, says terror attack possible","US issues global travel alert, cites al-Qaida threat",C not: U.S.5.S.S.9.
Singapore stocks end up 0.11 pct,Singapore stocks end down 0.45%,No has been as 0.
Russia warns Ukraine against EU deal,Rebels down Ukraine helicopters,Indian says kill
Hernandez double gives Mexico victory,Hernandez double gives Mexico victory over Japan,Southia chemical weapons close in the vote
China sacks top economic official,China FM hosts senior ASEAN officials,China crash ' people?
Canada approves oil pipeline to the Pacific Coast,Canadian government approves controversial oil pipeline to Pacific,Egypt to Greece election
Storm buries Northeast; 16 inches of snow in NJ,"Forum urges stable relations for China, Japan",Man Syria Dead's Korean?
Jamaican connection in Liverpool's win,Japan Election: Shinzo Abe Hails Landslide Win,Syria' Palestinian '' vote
"International weapons experts leave Syria, Obama to make statement","Weapons experts leave Syria, U.S. prepares attack",U.S.S.S. drone C in europe.S.
Southwest jet hit nose first,Southwest Jet's Nose Gear Landed First,Southicide Iraq says over
