input,reference_sentence,predicted_label
The BlueCore3-Multimedia includes a 16-bit stereo audio CODEC with dual ADC and DAC for stereo audio.,BlueCore3-Multimedia contains an open platform DSP co-processor and also includes a 16-bit stereo audio codec with dual ADC and DAC for stereo audio.,The Royals had been a share to buy-of a loss-year-after-Fran-year-year-old.
"Now, with the agency's last three shuttles grounded in the wake of the Columbia disaster, that wait could be even longer.","With the remaining three shuttles grounded in the wake of the Columbia accident, the rookies will have to wait even longer.","""We would the United States were killed in its spread for the most, which on the conventional from ir, by the Communist."
"Bremer, 61, is a onetime assistant to former Secretaries of State William P. Rogers and Henry Kissinger and was ambassador-at-large for counterterrorism from 1986 to 1989.","Bremer, 61, is a former assistant to former Secretaries of State William P. Rogers and Henry Kissinger.",He who high and est a grand.1 percent from iran had by both and european Monday to $26 oil to become.
"Those conversations had not taken place as of Tuesday night, according to an Oracle spokeswoman.","Those talks have not taken place, according to an Oracle spokeswoman.",ind one also funds no will be be a law.
"Taiwan has attempted to gain observer status to the United Nations-affiliated WHO for seven years, but again was rebuffed March 19 at its annual conference in Geneva.","It has sought observer status for seven years, but was again rebuffed May 19 at the annual WHO conference in Geneva.",Theirman realize to $30 for the world-month from four of the Joint 100 to the government.
"A Washington County man may have the countys first human case of West Nile virus, the health department said Friday.",The countys first and only human case of West Nile this year was confirmed by health officials on Sept. 8.,"The theme, his mouth will camera said the background."
National Breast Cancer Centre chief executive Professor Christine Ewan said it was too early to quantify the risk to women.,National Breast Cancer Centre head Professor Christine Ewan said there was no need for panic.,Several were organizations or the Student public?
Brendsel and chief financial officer Vaughn Clarke resigned June 9.,The company's chief executive retired and chief financial officer resigned.,Stocks's widow to the united states with many.
"On health care, the NDP says there will be no privatization and no health-care premiums.",The New Democrats also renewed their commitment to no health-care privatization and no premiums.,"Theirman was signed the  was found for the state visit to the best, director who might's more than under a share."
The new companies will begin trading on Nasdaq today under the ticker symbols PLMO and PSRC.,"Also as part of the deal, PalmSource stock will begin trading on the NASDAQ stock market Wednesday under the ticker symbol: PSRC.",The union to be report to the world on the New York Stock Exchange.
"Kids, adults, booksellers and postal workers all are preparing for ""Harry Potter and the Order of the Phoenix.""","The crates are full of hardback copies of ""Harry Potter and the Order of the Phoenix.""","The courage, the investigation, the same and the Pentagon"
"The government did not identify the taikonauts — a term coined from ‘‘taikong,’’ the Chinese word for space — who would travel on the second mission.","The government did not identify the taikonauts -- a term coined from taikong, the Chinese word for space.","The Nasdaq Composite Index . were now are running after the number at the city,"" the right's decision, at a 10's outstanding."
"I think we made the right case and did the right thing.""","Mr Blair went on: ""I think we did the right thing in relation to Iraq.",Hezbollah with the Day?
Kollar-Kotelly has scheduled another antitrust settlement compliance hearing for January.,The judge scheduled another oversight hearing for late January.,Kahn this to the world has been-laced been a statement was this by the same.
"""Tomorrow at the Mission Inn, I have the opportunity to congratulate the governor-elect of the great state of California.","""I have the opportunity to congratulate the governor-elect of the great state of California, and I'm looking forward to it.""","""The people, the companies include, is to the first were, this to disperse the company for the united states, which and the euro to which is the American, according."
"""I expect Japan to keep conducting intervention, but the volume is likely to fall sharply,"" said Junya Tanase, forex strategist at JP Morgan Chase.","Junya Tanase, forex strategist at JP Morgan Chase, said ""I expect Japan to keep conducting intervention, but the volume is likely to fall sharply.""","""The investment""""I don, but Bush in November the united states is expected of the gar the Internet, ""It, said."
"The Sunshine Group LTD represented the developers, The Related Companies and Apollo Real Estate Advisors LP, on the deal.","The developers, The Related Cos. and Apollo Real Estate Advisors, hope sales top $1 billion.","The tech and also 9 found, it's 500 Index <."
"""It is about a third of what I owe in the world,"" he told reporters.","It ain't coming to me, but it's only about a third of what I owe in the world.","""Mr a van was a $3 States, a share and one but a firearm a campaign."
"The tech-laced Nasdaq Composite Index gained 2.90 points, or 0.18 percent, to 1,606.87.","At 12:10 p.m. EDT, Canada's benchmark S&P/TSX composite index was up 6.87 points or 0.1 per cent to 6,979.29.","The tech sales points, from a $5 stock, or 2.54. 0."
The benchmark 10-year Treasury note yield <US10YT=RR> dipped below 4.20 percent on Tuesday.,"Prices for Treasury securities also rose, with the yield on the benchmark 10-year note falling to 4.19 percent.","The Senate 10-four from the US scientific plans to catch the United States has the other, or more than 1, which-border."
"So was Edie Falco, the critically praised co-star of ""Frankie and Johnny.""","Edie Falco was not nominated for ""Frankie and Johnny.""","It's Must,000?"
"""Saddam is gone, but we want the (U.S.) occupation to end,"" said Hit resident Abu Qasim.","""Saddam is gone, but we want the (U.S.) occupation to end.""","""liferation were to be reached ""the nuclearium is unacceptable the company: ""Arthur and demanded in a keyboard."
"Joe Kernan, who had been lieutenant governor for the past seven years, was sworn in as governor after O'Bannon died Saturday.","Kernan, who was O'Bannon's lieutenant governor, friend and political partner, was sworn in six hours after O'Bannon died Saturday.","the os said that the world in the international their was sold, we his back, the best had been this that the interim, the need at the ninth."
Advanced Micro Devices said Fujitsu Siemens Computers is offering a high-end workstation based on AMD's Opteron 200 Series.,Fujitsu Siemens Computers on Tuesday made good on a promise to offer a workstation based on Advanced Micro Devices' Opteron processor.,A double decker is talking about a share an important.
Kodak expects earnings of 5 cents to 25 cents a share in the quarter.,Analysts surveyed by Thomson First Call had expected Kodak to earn 68 cents a share for the quarter.,"""We of the capital of a persistent in the background."
Shares of Corixa fell 12 cents to $6.88 on the Nasdaq stock market.,"Corixa's stock barely flinched on the news, dipping 12 cents to close at $6.88.",Shares of funding the past gained $360.s in its $44.
"He was referring to John S. Reed, the former Citicorp chief executive who became interim chairman and chief executive of the exchange last Sunday .","Next week, John S. Reed, the former Citicorp chief executive who Sunday became interim chairman and chief executive of the exchange, will take up his position.","He in the New York.3, according and other can.""."
"He refused to reveal what percentage of flights carried sky marshals, or whether they would be increased.",He refused to say what percentage of domestic flights had security officers on board.,"He had that they, to the New York said, including, R."
"The Nasdaq Composite Index rose 19.67, or 1.3 percent, to 1523.71, its highest since June 18.",The S&P 500 had climbed 16 percent since its March low and yesterday closed at its highest since Dec. 2.,"Shares of the Nasdaq Composite Index .IXIC> percent, or 0 trading, or 0.2 percent, to a share.81X.4."
"They said they had concluded that the film failed ""to present a balanced portrayal"" of the Reagans.","CBS said the show ""does not present a balanced portrayal of the Reagans for CBS and its audience.","It hadin were that russian is the year, I would up a statement a single, I have a share."
State health officials said today a young northeast Kansas woman likely has the state's first case of monkeypox among humans or animals.,Health officials confirmed today that a northeast Kansas woman has the state's first case of monkeypox and the first case west of the Mississippi River.,"a: "" are all were never is also been arrested a proposed."
"Navistar shares were down 44 cents, or 1.1 percent, at $41.19 on the New York Stock Exchange after falling as low as $39.93.",Navistar shares rose a penny to $41.64 at late afternoon on the New York Stock Exchange after earlier falling as low as $39.93.,"Shares of $1 billion $ shares Stock Exchange.1 percent of 9IXIC $1 percent, or $1.63 cents $32, at 74."
Only Intel Corp.'s 0.3 percent yield was lower.,Only Intel Corp. has a lower dividend yield.,K were its wings its existence over high Korea.
"MGM, NBC and Liberty executives were not immediately available for comment.",A Microsoft spokesman was not immediately available to comment.,M next's first is not guilty was signed it's director was.
"The new analysis found that 32 of the 16,608 participants developed ovarian cancer during about 5 years of follow-up.","The new analysis found that 32 of 16,608 participants developed ovarian cancer in about 5 1/2 years of follow-up, including 20 women taking hormones.",The network of the window the russia and the latest be reached of people are being transported.
Veteran stage and screen actor Hume Cronyn died of cancer Sunday.,"Character actor Hume Cronyn, 91, died Sunday at his home in Connecticut.",Palest does not how the nonsensical things of an answer over the background.
"Deirdre Hisler, Government Canyon's manager, said the state has long had its eye on this piece of property and is eager to complete the deal to obtain it.","Deirdre Hisler, Government Canyon's manager, said the state long has coveted this piece of property, and is eager to complete the deal.","the united states said the companies, he that ger the law Lancet, did not the American it."
"Reuters witnesses said many houses had been flattened and the city squares were packed with crying children and the homeless, huddled in blankets to protect them from the cold.","Reuters witnesses said public squares were packed with crying children and people left homeless, huddled in blankets to protect them from the cold.",It had been arrested the united states and have the best the international atomic energy it had been the UK from the decision.
The three grocery chains were relying on store managers and replacement workers to keep their stores open.,"The supermarket chains have used managers and replacement workers to keep their stores open, often at reduced hours.",A black leather down the window another it is rid that on the company on the sand on the tracks.
"The security official's backup couldn't fill in because he was on active military duty, Strutt said.","The security official's backup was on active duty, and the lottery association didn't have a replacement in New Jersey, Strutt said.","The was held in Ukraine about its inquiry, which what """" after was already, we are being and one, or 2."
"Researchers found the fossils in a semidesert area of Venezuela, about 250 miles west of Caracas.","Phoberomys' skeleton was unearthed 250 miles west of Caracas, Venezuela.",You that the New York Stock Market to the detainees said and georgia in its from the end for the first with a statement out.
Mr McDonnell is leading Grant Thornton International's inquiry into the Italian business.,Mr McDonnell wants to establish if the Italian business followed Grant Thornton's audit procedures.,The company the Dutch's military one the window in the camera.
The industry's largest association is urging its members not call the more than 50 million home and cellular numbers on the list.,"Meantime, the Direct Marketing Association said its members should not call the nearly 51 million numbers on the list.","The unemployment to the federal: ""There is the report to the united states from the Senate."
"The workers accuse General Dynamics of ""reverse age discrimination"" because of a change in retirement benefits in 1997.",General Dynamics was sued when it changed its retirement benefits in 1997.,But of a blue sky in New York Stock Exchange.
"The tech-laced Nasdaq Composite Index .IXIC eased 5.16 points, or 0.32 percent, at 1,590.75, breaking a six-day string of gains.","The tech-heavy Nasdaq Composite Index .IXIC was off 0.11 percent, or 1.78 points, at 1,594.13.",The technology-old 1-old.15 trading up 0.
The Space Infrared Telescope Facility's mission is to search for the beginnings of the universe.,NASA is scheduled to launch the Space Infrared Telescope Facility on Monday morning.,"In the World, which have been expected to the floor."
The respected medical journal Lancet has called for a complete ban on tobacco in the United Kingdom.,"A leading U.K. medical journal called Friday for a complete ban on tobacco, prompting outrage from smokers' groups.",He is a race dog at the Senate who attended a three-laced the water.
"The driver of the truck escaped and is now being sought by the police, Supoyo said.",But police say the driver of the truck has not been found and is wanted for questioning.,"""This is also express, when the air up of the word."
"""In so many different ways, the artistry of black musicians has conveyed the experience of black Americans throughout our history,"" Bush said.","Surrounded by singers from Harlem, Bush said: ''The artistry of black musicians has conveyed the experience of black Americans throughout our history.","""Shares of the scores, that the company,"" W that the entire terrorism."
"Geraldine Andrews, the pastor's daughter-in-law, said Robinson recently took her daughter out of a mental health facility.","Geraldine Andrews, Reynolds' daughter-in-law and a friend of Wilson's family, said Robinson had recently taken Wilson out of a mental health facility.","Gant, also,"" said that her, which after he said the US, but the ""Why, a major, with the Winston in the courts."
"Before Thursday's matinee, Baker called a clubhouse meeting, concerned that the controversy had distracted the Cubs.","Baker called a pregame meeting, believing the the corked-bat episode had distracted the team.","Pet, including the question, including, including a yield to the ""I no, or more a Democrat, armed a share."
She was taken by ambulance to Charing Cross Hospital in Hammersmith.,"She was taken to Charing Cross Hospital, where she remained critically ill last night.","She: US was an event and that they were not immediately, it was found for the case, in the former."
"Shortly after the opening bell, the Dow Jones Industrial Average was up 11.13 to 9,228.48, while the S&P 500 index gained 1.74 to 982.33.","After a weak start, the Dow Jones Industrial Average ended the day up 26.26 to 9,217.35, while the S&P 500 index rose 3 to 980.59.","The Royals, said the west said the New York Stock Exchange."
"In addition, primary care trusts (PCTs) were given star ratings for the first time this year.",Primary Care Trusts and Mental Health Trusts have also been formally rated for the first time this year.,"In the year with many said it's FBI,000 the state the Tampa a statement for drug the United States, up for the Pentagon."
"""We are expending all available resources toward the investigation,"" said Assistant U.S. Attorney Todd Greenberg, a counterterrorism prosecutor in Seattle.","""We are aware of the situation,"" said Assistant US Attorney Todd Greenberg, a counter-terrorism prosecutor in Seattle.","""We think were also said that the other said."
"The technology-laced Nasdaq Composite Index .IXIC shed 15 points, or 0.98 percent, to 1,492.","The broader Standard & Poor's 500 Index <.SPX> edged down 9 points, or 0.98 percent, to 921.","The broader & Poor's 500 Index <.IXIC> rose to 9.0 percent, to 1 points, or 1."
The research firm earlier had forecast an increase of 4.9 percent.,The firm had predicted earlier this year a 4.9 percent increase.,The American with tan and the camera version that her hair.
"PeopleSoft will commit $863 million in cash and issue 52.6 million new shares, the companies said.","The new deal would be valued at $1.75 billion, including $863 million in cash and 52.6 million PeopleSoft shares.",ch at $1 million in the $9 million in its at $1.
"So in his State of the Union address in January, Bush declared that the British government ""has learned that Saddam Hussein recently sought significant quantities of uranium from Africa.""","In his Jan. 28 State of the Union message, Bush said, ""The British government has learned that Saddam Hussein recently sought significant quantities of uranium from Africa.""","This, the federal of a statement for comment."
"The other 24 members are split between representatives of the securities industry and so-called ""public"" board members.","Of the 24 directors who are not exchange executives, half are representatives of the securities industry and half are designated public members.",No a s a large the most of the total of the world's largest-IC the panel.
The Episcopal Diocese of Central Florida became one of the first in the nation Saturday to officially reject the national denomination's policies on homosexuality.,The Episcopal Diocese of Central Florida voted Saturday to repudiate a decision by the denomination's national convention to confirm a gay man as bishop.,A small brown horse of the middle of the world would of the floor.
McGill also detailed the hole that had been cut in the Caprice's trunk.,McGill also said a dark glove was stuffed into a hole that had been cut in the Caprice's trunk.,T had stated that the u is the canon in the city of the news by the decision.
"That compared with a year-earlier profit of $102 million, or 13 cents a share.","That was more than double the $102 million, or 13 cents a share, for the year-earlier quarter.",He of a New York Stock Exchange a track-laced fell are's 500 with a share.
"""The economy, nonetheless, has yet to exhibit sustainable growth.",But the economy hasn't shown signs of sustainable growth.,"""We, Mr, ""I you executive,000, not my more to buy, then."
The commission estimated California lost $937 million to corporate tax shelters in 2001.,California's lost tax revenue was mostly due to international corporate tax shelters.,The company is were 5 $ in their rose in Iraqi million.
"In other markets, U.S. Treasuries started off on Monday weaker, as stocks rose early.","In other markets, U.S. Treasuries inched higher as declining stocks raised the appeal of safe-haven debt.","So their other that ch wants, the investigation to 1, we."
"The technology-laced Nasdaq Composite Index .IXIC was down 25.36 points, or 1.53 percent, at 1,628.26.","The broader Standard & Poor's 500 Index .SPX gave up 11.91 points, or 1.19 percent, at 986.60.","The index, 2, its points, or 0.IXIC> rose percent, or 0."
"The Pentagon had hoped to retain control of the postwar effort, so the decision is a victory for Secretary of State Colin L. Powell.","The Pentagon had hoped to retain control of the postwar effort, so the decision was seen by some insiders as a victory for Powell and the State Department.","The company that is the embank, to the other is making a the United States on the American it's not."
"Prof Sally Baldwin, 63, from York, fell into a cavity which opened up when the structure collapsed at Tiburtina station, Italian railway officials said.","Sally Baldwin, from York, was killed instantly when a walkway collapsed and she fell into the machinery at Tiburtina station.","He said that he then-year the Titanic, a second."
It calls for the agency to plan an independent safety and engineering organization.,The agency has yet to fully formulate a strategy for the creation of an independent engineering technical authority.,He no the capital that it's j on the camera.
"WorldCom's accounting problems came to light early last year, and the company filed for bankruptcy in July 2002, citing massive accounting irregularities.","WorldCom's financial troubles came to light last year and the company subsequently filed for bankruptcy in July, 2002.","One to $30 a high,000 to $18 to catch to $1."
"The study also found that consumer goods advertisers continued to spend the most dollars online, representing 35% of all Web advertising.","In the second quarter, consumer advertisers continued to spend the most online, slightly increasing their share.","The said that the US, five has been the first that the magazine that the sale the best when after the he said the ""mid of the United."
Kiernan testified that Seifert had received a gunshot wound to the back.,"Seifert, he testified, had a gunshot wound in the back.","He said for the same-election, 103 the infamous-Star."
"It is priced at $5,995 for an unlimited number of users tapping into the single processor, or $195 per user with a minimum of five users.","It is priced at $5,995 or $195 on a per user licensing plan with a minimum of five users.","It's is unacceptable of the courtroom, who $34 of $10 when at $1."
Tropical storm heads for pass along Honduras coast,Tropical storm warnings for Southeast coast,Tens for undecided's Day for generating to Syria
Suicide bomber kills 12 in Nigeria church,Suicide bomber kills 21 in NW Pakistan,Suicide bomber kills in northern Pakistan
US says ready to help blind Chinese activist,U.S. ready to help Chinese activist: official,US House to restart agree to save to new.
Gazans fire 2 rockets into Israel; no injuries,2 Gaza rockets hit Israel; no injuries,G stocks close of the murder on Boston Marathon; found
Berri says ready to help launch national unity government,The perception of Spain has changed dramatically with this government,A man puts on a wooden pot
13 dead in Iraq bomb attacks,16 killed in north Iraq attacks,South Africa in Cairo
Hurricane Isaac Moves Inland After Landfall,Hurricane Isaac batters US coast near New Orleans,"Turkishian to be fair, Lavrov"
Nigeria mourns over 193 people killed in plane crash,Nigeria opens probe into deadly air crash,Nelson Mandela car-range in�Äô
ICC jails Congolese warlord for 14 years over child soldiers,Congolese warlord sentenced to 14 years in landmark case - video,Ch Australia for the world of UK
"7 soldiers killed, 56 injured in PKK attack in eastern Turkey","3 killed, 14 injured in attacks in Iraq",6 kill Iraq soldiers killed in Afghanistan
Schiphol airport partly evacuated after bomb threat,Schiphol airport evacuated due to bomb threat,North Korea's not protesters 'special'
MIER ups 2012 growth forecast to 4.2pc,CMIE cuts 2012-13 growth forecast to 6.3%,Obama puts president to new new order.
Activists: Syrian troops storm Damascus suburb,Activist says Syrian citizen cameraman killed in Homs,Z's Syria at least two’
Tehran: EU sanctions won't force Iran into nuclear talks,Low expectations for Iran nuclear talks,Brit for asylum to Know for nuclear talks
Portugal Drownings: UK Girl And Grandad Named,British Girl And Grandad Drown In Portugal,UN: major's new US in southern Israel
"Iran, powers set for high-stakes nuclear talks","U.S., Iran prepare for Istanbul nuclear talks",Iran nuclear talks on nuclear talks with nuclear talks
Syrian forces kill teen in Aleppo protests,Syrian forces kill 3 protesters in Damascus-activists,Syria forces in Syria's ' rebels over trial
"Jaguar to create 1,100 jobs in UK","Royal Mail to create 1,000 jobs","Japan, ha,000 death,000: 2, to Philippines"
Iraq searches Syria bound Iran plane: officials,Iraq searches Syrian-bound Iranian plane,Iraq police
Syria fighting rages as Russia urges Western re-think,"Syria fighting rages in capital, Russia pressed",Syrian forces-magnts 'objects dies
Erdogan's party submits plan for Turkish presidency,Erdogan's party aims for Turkish presidency,Bomb kills over the world's first?
Publisher acquitted in privacy case,PBS publishes new guidelines on impartiality,Man opposition ‘ up strike
Samsung overtakes Nokia in phones,Charges over dog attack on police,Tal bomb suspect in Afghanistan
Gu Kailai murder trial ends in China,Gu Kailai's Murder Trial Ends in China,Pakistani kill kill leadership’s in U.
Not 'hiding the ball' on Russia: Obama,Obama says he's not 'hiding the ball' on Russia,Death toll in major against the back
England captain Andrew Strauss retires from professional cricket,England captain Strauss retires from cricket,T liftsens to hold survivors chemical weapons
China backs Sri Lanka on UN resolution,War crimes: China backs Lanka on UN resolution,China stocks close lower on Monday
Ton up: Tendulkar reaches 100th international hundred,Sachin Tendulkar's reaches 100 centuries - in pictures,Bomb dies at the death penalty over arming
Conspiracy against me - Lance,Day begins amid panic,Peopleiss to be chemical weapons
"Mursi takes oath of office, becomes Egyptian president",Morsi to take oath as first Egypt civilian president,Maliate dead in southern Afghanistan
Syrian opposition pleads for criminal court action,Syrian opposition leader criticizes U.S.,Syrian opposition opposition opposition over for Obama for Today
Sunderland 2-2 Bolton: Davies double gets Trotters a point but they stay in bottom three,Sunderland 2-2 Bolton: Davies in at the double,"""We base In that the inquiry: no longer ""Americans were first a share."
"Syrian forces shell towns, clash with rebels",Syrian forces and rebels clash in coastal province,"Syrian forces, opposition in Iran talks"
Bahraini protesters and police clash after funeral,"Greek protesters, police clash as bailout deal in limbo",Pakistani suspect on Syria chemical weapons
Apple buying security firm AuthenTec for $356 million,News Summary: Apple buying AuthenTec for $356M,"Apple 4 to resign, dismiss"
Trade newspaper Variety up for sale,Hollywood trade publication Variety put up for sale,Pro close in Aleppo's new Pakistan
Australians flee homes amid floods,Australian speaker steps aside,His Korea's new US suspect Palestinian prisoners
Germany dodges recession with growth in first quarter,"Eurozone avoids recession in Q1, thanks to Germany",Trop up to run in Israel crash
Asian stocks rise after Greek vote eases fears,Oil rises after Greek election result,Asian bombs stocks open higher on Monday
British soldier killed in southern Afghanistan,Two British soldiers killed in Afghanistan,British kill in India dies at least Pakistan
Obama silent on China dissident,Obama to visit Korean DMZ,Obama takesObama.S.N.
Suicide Bomber Kills 6 in Afghan Capital,Suicide bomber kills 37 at mosque in Afghanistan,Suicide bomber kills Israeli kills Afghanistan
Denver shooting: Police to detonate devices in suspect's home,Police to detonate devices in Colorado shooting suspect's home,Nob: Empire UN to the Day: Syria at all
Syria hands over bodies of journalists,Syria TV says govt troops free captive journalists,Lib PM says Mandela Arrest over
Coroner: Whitney Houston died in bathtub,Coroner confirms Whitney Houston found in bathtub,Turkish police opposition Mandela in Lebanon
Japan suffers severe flooding - in pictures,Oklahoma wildfires destroy homes - in pictures,Japanph chief violence rises to new
Japan to deport Chinese held over island landing,German court weighs delay to euro fund ruling,Japan cross Syrian Army to talks
Some Syria violence amounts to civil war-Red Cross,Some Syria violence qualifies as civil war -Red Cross,Three to Syria rebels to 6 to Che tests on Gaza
Romney Wins Nevada Caucus,Romney shifts focus to Santorum ahead caucuses,Romneyand couple
Apple iPad mini makes debut,Apple iPad mini makes debut in Asia,Apple prisoners man is using a desk
Hamas hangs three Gaza prisoners,Myanmar announces release of prisoners,Hamas suspect on Wall Street'
East Timor votes in presidential election,Venezuelans urged to vote in presidential election,East kill speculation dead in Afghanistan
Sunday Times journalist Marie Colvin killed in Syria,"Sunday Times journalist, French photographer 'killed in Syria'",Pakistani 'Accept in Iraq
KL shares higher at mid-afternoon,KL shares lower at mid-morning,Kerry on the inquiry to six
Chicago teachers strike in bitter contract dispute,Chicago teachers union delegates could end strike,Chicagoman killed in Kenya at Russian
Israel to free Palestinian hunger striker,Israel asks US for arms that could aid Iran strike,Israel unveils unveils arms
Not a good beginning: Hollande's plane hit by lightning en route to Berlin,French President Francois Hollande's plane hit by lightning en route to Berlin,Z over a key to  on a river
Afghan Parliament Votes to Oust Key Ministers,Afghan parliament votes to remove key ministers,Afghan protesters topple definition for money's visit for rallies
Attacker in Afghan uniform kills 2 NATO troops,Man in Afghan army uniform kills NATO soldier,U.S. drone kills by judge
Cheap generics no panacea for India’s poorest,Cheap cancer drugs no cure for India's poorest,Alger Israel for using for you for $9.
'Arrest warrant' for Maldives ex-president,Maldives court issues arrest warrant for former president,US: Image of emergencyorsi kills 4
HRW: Jordan turning away Palestinian refugees from Syria,Report: Jordan biased over Palestinians from Syria,"Jordan, Obama to consider at Syria"
Syrian forces overrun rebel stronghold,Syria army takes northern rebel stronghold,"Syrian forces, oppositionia rules near strikes"
Chinese stocks close higher midday Friday,Chinese stocks open lower Friday,Chinese stocks lower dies
"Sandy slams into Northeast; at least 18 dead, 7.4M without power","Eastern U.S. storms leave 2 dead in Va., 2 million without power","Or at Pakistan.S.N percent, but, and his new."
Putin Declares Victory in Russia Presidential Vote,Complaints in Russian election mount,Putin to ' earned of three: Russia-raped Syria
Supreme Court to Hear Voting Rights Act Case,Supreme Court to hear corporate human rights case,UN to beRussia to end.S
Libya postpones assembly election to July 7,Libya postpones landmark election to July 7,"Iran, PM: Image in Pakistan to 6"
London 2012 Olympics Opening Ceremony 'to feature a green and pleasant land',"London 2012 Olympics: Opening Ceremony to be a 'green and pleasant land', says Danny Boyle",France of woman picks of Boston Marathon
Pakistan blocks Twitter over anti-Islamic material,Pakistan blocks Twitter over 'blasphemy',Pakistan wants to grant mull detained US
Annan to visit Syrian refugees in Turkey Tuesday,Annan to visit Syrian refugees in Turkey before Iran,N breaks to be fair in Afghanistan
Pakistani PM shocked at avalanche trapping army personnel,Pakistan avalanche: rescuers search for buried soldiers,Pakistan says to meet Asian retreat at Mandela
Opposition leaders emerge to commemorate Cambodian workers' deaths,Cambodia opposition leaders summoned to court,EU on a year on Oct
Mali due to vote for president,Mali Counts Votes After Presidential Runoff,Morsi's president for world's ' arrested
Pussy Riot member Alyokhina released from jail in Russia,Pussy Riot member Maria Alyokhina freed from jail,"Turkey: Obama, Afghanistan after plot in front of its mouth"
Asiana jet crash lands at San Francisco airport,Plane crash lands at San Francisco airport,Ch meets by a campaign in Spain
"Blizzard hammers U.S. Northeast, five dead, 700,000 lose power","Blizzard wallops US Northeast, closes roads","7, 6 in Pennsylvania, in Pakistan, or 1,000"
2 French Journalists Killed in Mali,Two French journalists killed in Mali,At least kill the snow.
Vehicles ablaze in collapsed Japan tunnel,Vehicles 'left burning' as smoke emits from Japan tunnel,Malaysia in front of chemical weapons
China stocks close lower on Friday,China stocks close higher on Wednesday,China up higher to delay lower
Mayor says 14 dead in Texas fertilizer plant blast,Rescuers search for survivors of Texas fertiliser plant blast,"At at the world, Obama in Lebanon"
CBN reiterates plan to phase out polymer notes,Nigeria announces plans to change polymer Naira notes,Cians from Zimmerman-year-Palestinian US Federal
U.S. files espionage charges agains NSA leaker,US files espionage charges against Snowden over leaks,U.S.S.N on Syria stock
Chinese general's son gets 10 years jail for rape,Chinese general’s son gets 10 years’ jail for gang-rape,Chinese president on Monday
Where's Rusty? Red panda vanishes from National Zoo,Missing red panda returned safely to National Zoo,British president
Queen Beatrix of The Netherlands to abdicate for son,Queen Beatrix of the Netherlands abdicates in favour of son,US: Day me to get for rallies
U.S. dumps bombs at Great Barrier Reef,U.S. military jettisons bombs near Australia's Great Barrier Reef,U.S.S. drone kills at Russian at midday
38 Taliban militants killed in Afghanistan,Taliban attacks US base in Afghanistan,Russia says dies at US kill at Egypt
Most powerful typhoon of 2013 hits the Philippines,23 Missing as Typhoon Utor Hits Philippines,Ukraine protesters topple Lenin as Syria chemical weapons
Calls for more Egypt protests,Death toll from Egypt protests rises to 49,Couple for kidnapped two over for Putin
US government 'on the edge of shutdown',Obama rejects GOP offer to ease shutdown,U.com that up to 6.
123 killed in fighting in northern Syria,Many killed in Syrian air strike,World bombing killed in southern kill police
Critics say Putin’s security restrictions violate rights,Putin's security decree for Sochi draws ire of critics,Egypt: Obama orders line South Africa. Korea for $65
"Egypt braces for more protests, prays for calm","Egypt braces for more protests over Morsi, prays for calm",Egypt's Muslim Brotherhood arms
Morsi supporters protest in Egypt,Morsi backers defiant in face of Egypt govt threat,M's says of the world over police
Stocks rise in early trading,US stocks ease in choppy trading,Stocks in Syria
Bangladesh building collapse death toll hits 540: army,Bangladesh building-collapse toll tops 600,Bangladesh building collapse in Pakistan
Defiant Mugabe sworn in for seventh term blasts 'vile' West,Mugabe sworn in for another term,Romney: Video in front president urges for two Wednesday
Nelson Mandela in Hospital for Tests,South Africa: Mandela in hospital for tests,Nelson Mandela in Nigeria in northern Gaza
"Iran, six global powers sign landmark nuclear deal","Iran, world powers agree nuclear deal","Iran, world powers talks"
Algeria Mounts Military Operation to Rescue Al Qaeda Hostages,Algeria mulls international force for hostages,Alger forces to resolve in Syrian refugees
Delhi gang rape victim dies in Singapore hospital,Delhi gang rape victim flown to Singapore hospital,US soldier � in Afghanistan
Birth Control Linked With Higher Glaucoma Risk,Contraceptive pill 'doubles glaucoma risk',Ten in Afghan Assad in Kenya toll rises crash
Malaysia sets May 5 as date for closely contested election,Malaysia sets date for landmark elections,Malaysia's naval to end
Dhawan smashes India to big win over South Africa,Dhawan ton sets up India Trophy win over South Africa,D does is whoic republic jail
N Korea postpones family reunions,North Korea postpones war-torn family unions,Nelson Mandela dies in West'
"Syria rejects US, UK chemical arms claims",US suspects Syria used chemical weapons,"Mandela spends rises killed, attack"
Egypt arrests Muslim Brotherhood Supreme Guide,Egypt bans Muslim Brotherhood group,Egypt's Mubarak police freed for Muslim Brotherhood
Gunmen kill nine people in northwest Pakistan,Gunmen kill 3 policemen in Iraq,Gunmen kill soldiers killed in Pakistan
News summary for March 11,News summary for January 14,Pro for you for you for granting
Hawaii passes gay marriage bill,US Senate passes gay workers bill,"Margaysians says ""There to decide on June"
Syrian Opposition Urges EU to Send Arms to Rebels,Syrian opposition meets to choose interim PM,Syrian opposition to rebels amid unrest to 12 to Sri Pakistan
Funeral of Oscar Pistorius' girlfriend Reeva Steenkamp takes place,Oscar Pistorius 'shot Steenkamp in bathroom',U.7 from northern 4 $10 of the kid
Two firefighters killed in New York ambush,Two New York firefighters in guarded condition after deadly ambush,Two dogs are running on Morsi.
"Ten rescued off Waterford, Dublin coasts",Six rescued after boat capsizes in Dublin Bay,"Two little girl Nuclear kill two,000"
